下半身に生暖かい感触を覚える。	하반신에 미지근한 감촉을 기억한다.
分かってるよぉ……でも、でもね……？　ちょっとだけ、先にぃ……ちゅーしてほしいなって、思っちゃったの……	알고 있는……에서도, 그런데……?　조금, 먼저 ……-해 주었으면 한다는, 생각해 버렸어……
んっ……もっとエッチなキス……お姉ちゃん、してほしいなぁ……？	응……좀 더 음란한 키스……언니, 해 주었으면 한다……?
はぁ、んちゅっ……じゅるるっ……はううっ……わたし、はぁ、はううっ……じゅるるぅ……キス……すきぃ……	후~, …………는 우우……나, 후~, 는 우우…………키스……좋아……
はぁ……んちゅうっ……ご主人様の味ぃ……好きぃっ……んちゅっ……ちゅぷぅっ……くぅううんっ……はぁ、はぁっ……	후~…………주인님의 맛……를 좋아하는 사람………………구으응 ……후~, 후~……
はぁ……ご主人様……お姉ちゃん……お姉ちゃんね……うぅっ……	후~……주인님……언니……언니…………
んっ……そう……でも、でもね……ここじゃ……やっぱり……はずかしいかな……	응……그렇게……에서도, 그런데……여기는……역시……부끄러울까……
どきどきしてるぅ……その、もう、はやく可愛がって……？　お姉ちゃん、あたまがおかしくなっちゃいそうなの……	두근두근 하고 있는 ……그, 이제(벌써), 빨리 귀여워해……?　언니, 머리가 이상해져버릴 것 같아……
ご主人様……じっとしててね……？	주인님……가만히 하고 있어……?
え、えへへ……おちんちん……出しちゃった……硬くなってるぅ……♪	네, 네에에……자지……내 버렸다……딱딱해지고 있는 ……♪
あう……？　そうかな……？　んちゅっ……全然気にならない……むしろご主人様の匂いがして……好きぃ……	만나……?　그럴까……?　……전혀 신경이 쓰이지 않는……오히려 주인님의 냄새가 나……를 좋아하는 사람……
んちゅうっ……ちゅううっ……おしっこの味するぅ……でも、お姉ちゃん、ご主人様のなら……平気だよ……？	……우우……오줌의 맛 한다……에서도, 언니, 주인님의 것이라면……아무렇지도 않아……?
ぐちゅっ……ちゅぷっ……お姉ちゃん、もうどきどきが止まらないのぉ……ちゅぷ、ちゅぷぅっ……	…………언니, 이제 두근두근이 멈추지 않는 것 ……, ……
はぁ、はぁ……んつ……ご主人様だってぇ、こういうの、好きでしょ……？	후~, 후~……응개……주인 같다고 , 이런 것, 좋아하겠지……?
ぐちゅっ、はぁ、はぁ、ちゅぷ、んぅっ！　えへへ、お姉ちゃん、ご奉仕すきぃ……んちゅっ、れるぅっ、はぁ、はぁ、んぅうんっ……！	, 후~, 후~, , 응!　네에에, 언니, 봉사 좋아……, , 후~, 후~, 응응 ……!
おしっこもぉ、あせもぉ……ご主人様なら全部平気ぃ……んちゅううっ！　はぁ、はぁ、すきすきっ……すきぃっ……！	오줌도 , 땀띠……주인 같으면 전부 태연……우우!　후~, 후~, 비어 좋아……좋아……!
んぅっ……はぁ、はぁっ……ぐちゅっ！　ひくひくしてるぅっ……らしたいんだぁ？　んぷっ、んん～っ……！	응……후~, 후~……!　흠칫흠칫 하고 있는 ……등 하고 싶거든?　, 응응~……!
こくっ……んっ……ふふっ……こくんっ……えへへ……いっぱぁい……全部残さず……飲んだよ……？	진하고 ……응……후후……진하고 응……네에에……있고……전부 남기지 않고……마셨어……?
あ、でもね……こんなにいっぱい出しちゃったらぁ……この後のぶん、なくなっちゃうかも……？	아, 그런데……이렇게 가득 내 버렸다들……이 후의 만큼, 없어져버릴까도……?
んっ……続きはお部屋で……だよね？　お姉ちゃん、いっぱい精液欲しいな……え、えっちすぎるかなぁ……♪	응……다음은 방에서……지요?　언니, 가득 정액 갖고 싶다……네, 지날까……♪
……あの……ご主人様ぁ……ちゅー……してぇ……？	……그……주인님……―……해 ……?
ちゅっ……はぁ、はぅっ……ごめんねぇ……すぐ、ちゅーしたくなっちゃたぁ……	……후~, 는 ……미안해요……곧, -하고 싶고 ……
んっ……あ、あのね……お姉ちゃんね……えっとぉ……その……	응……아, 저기요……언니……어와 ……그……
お姉ちゃんね、最初はちゅーしたら……その、我慢できるかなって思ったの……けど、違ったよ……	언니, 처음-하면(자)……그, 참을 수 있을까라고 생각한 것……하지만, 달랐어……
もっとしてほしいって、そればっかり考えちゃう……我慢なんて……できるはずないよ……	좀 더 해 주었으면 한다고, 그것뿐 생각해버리는……인내는……할 수 있을 리 않아……
あ、あのっ……あのっ……お姉ちゃんのここにね……その……	아, 그 ……그 ……언니의 여기에 말이야……그……
あう……せ、セックスだよう……ご主人様だって、したいよね……？	만나는……키, 섹스……주인 같다고, 하고 싶지요……?
んっ……ご、ご主人様の……おちんちん……はぁ、はぁ……おまんこに入れてぇ……ご主人様ぁ、焦らさないでぇ……はぁ……	응……, 주인님의……자지……후~, 후~……보지에 넣어 ……주인님, 초조하게 하지 말고 ……후~……
お姉ちゃんの……触ってもないのに、発情してぐちゅぐちゅになってるおまんこにぃ……おちんちん突っ込んで……せ、セックスしてほしいのぉ……はぁああんっ……	언니가……손대지 않았는데, 발정가 되어있는 보지에 ……자지 돌진해……키, 섹스 해 주었으면 하는 것 ……후~ 아 응……
あうっ……や、やぁあああんっ……ご、ご主人様、はげしっ……激しいよぉっ……はぁ、あうっ……きゃうううっ……！	만나는 ……나, 나아 팥고물……, 주인님, 벗길 수 있는 쉿……격렬해 ……후~, 만나는 ……우우……!
ああ、ああうっ……おかしいよねっ……お姉ちゃんね……おまんこいっぱい濡らしちゃってたからぁっ……はぁあんっ……	아, 아 만나는 ……이상하지요 ……언니……만 진한 유로부터……후~ 팥고물……
キスしたら、じゅんってぇ……じゅんって、エッチなの溢れてきちゃったぁ……はぁ、はうっ……ご主人様、ご主人様っ……！	키스 하면(자), 순서는 ……순서는, 음란한 흘러넘쳐 와 버렸다……후~, ……주인님, 주인님……!
ああ、はぁあっ……はううっ……ご主人様っ……ごめんね、えっちなお姉ちゃんでぇ……ごめんなさいぃ、はぁ、はううっ……！	아, 후~아……는 우우……주인님……미안해요, 더 언니(누나) 로 ……미안해요 , 후~, 는 우우……!
お部屋まで我慢できない、はぁ、はぁ、はしたないメイドなのぉ……はぁ、はうっ……！	방까지 참을 수 없는, 후~, 후~, 상스러운 메이드인 것 ……후~, ……!
あひっ！　はぁ、はぁああっ……！　はげし、激しいのっ！　ご、ご主人様っ！　ご主人様ぁ～っ！	아히!　후~, 후~ 아 ……!　벗길 수 있는 해, 격렬한 것!　, 주인님!　주인님~!
ああ、はああっ、おまんこのおくもっとぉ、おちんちんぐりぐりしてぇ、それが、それがいちばんだからぁ……！	아, 는 아 , 보지의 속 좀 더 , 자지 때굴때굴 해 , 그것이, 그것이 가장이니까……!
はぁ、はぁっ……ご主人様ご主人様……全部ご主人様のモノだからぁ……はぁ、はひっ……んぅうんっ……！	후~, 후~……주인님 주인님……전부 주인님의 물건이니까……후~, 는 히……응응 ……!
あひっ！　あひぃっ……！　うふふっ、うれしいっ……ああ、ご主人様にぃ、一晩中……えっちなことっ……！　あうう、お姉ちゃん、幸せ過ぎてぇ、泣いちゃいそうだよぉっ……！　んんん～っ！	아히!　아히……!　후후, 기쁜 ……아, 주인님에게, 밤새……인 일……!　아우우, 언니, 너무 행복해 , 울어버릴 것 같아 ……!　응응응~!
はぁ……はぁあんっ……ご主人様……うれしい……おねだりしてよかったぁ……大好きぃ……ご主人様ぁ……	후~……후~ 팥고물……주인님……기쁜……졸라댐 해서 좋았다고……너무 좋아……주인님……
んっ……ふふっ……ご主人様がぁ、こんな……おまんこおねだりするメイドにしたのぉ……だからぁ、責任とってぇ……一晩中可愛がってね……？	응……후후……주인님이, 이런……보지 졸라댐 하는 메이드로 한 것 ……이니까, 책임져 ……밤새 귀여워해……?
ご主人様……あのね……はしたないってぇ……わ、分かってるんだけど……	주인님……저기요……상스럽다는 ……원, 알고 있었지만……
…………ここで、お姉ちゃんの事……い、苛めて……ほしいの……	…………여기서, 언니의 일……있고, 괴롭히기를……원하는거야……
ごめんね……でも、その……お話している時から……実は、はやくしたいなぁって、む、むらむらしちゃって……	미안해요……에서도, 그……이야기 하고 있을 때로부터……실은, 빠르게 하고 싶다는, , 불끈불끈 해 버려서……
だからね、その……エッチなお姉ちゃんに……イラマチオ、してほしいの……	(이)니까, 그……음란한 언니에게……이라마치오, 해 주었으면 하는거야……
ぷはっ……はぁあんっ……ご、ごめん……喉奥、その……犯されても……ご主人様なら、うぅっ……もっともっとって、思っちゃうから……ごめんなさいぃっ……	하……후~ 팥고물……, 미안……목 안, 그……범해져도……주인 같으면, ……좀더 좀더는, 생각해버리니까……미안해요 ……
んっ……お姉ちゃんのおくちで興奮してぇ……オナホみたいに使ってくれてるの……幸せって……はぁ、はぁ、思うからぁ……	응……언니입으로 흥분해 ……오나홀같이 사용해 주어……행복하다는 것은……후~, 후~, 생각하기 때문……
んんん～～～っ！！　んぐぅ、うぇええっ、んぷっ、んぅうんっ！　はぁ、はぁ、もっとぉっ……！	응응응∼~~!　, 예, , 응응!　후~, 후~, 좀 더 ……!
んっ……んくっ……んくっ……こくっ……んぷっ……はぁ、はぁ……うふふ……はぁ、いっぱいらぁ……	응……응구……응구……진하고 …………후~, 후~……후후……후~, 가득들……
お姉ちゃん……んっ……んぅっ……ご主人様の性奴隷になれてるぅ……？　ねぇ、どうかなぁ……？	언니……응……응……주인님의 성 노예가 될 수 있어있는 ……?　응 아무쪼록인……?
う、うんっ……！　はぁ、いくらでも好きにしていいよ……？　ううん、いっぱい乱暴してぇ……？　はぁ、はぁっ……	, 응 ……!　후~, 얼마든지 마음대로 해도 좋아……?　으응, 가득 난폭해 ……?　후~, 후~……
えっとぉ……その、ご主人様……お部屋まで……ま、待てないの……はぁ、はぁ……ふふっ……だからね……？	어와 ……그, 주인님……방까지……뭐, 기다릴 수 없는 것……후~, 후~……후후……니까……?
いいよう……むしろ、その……ちょっとぐらい、痛い方がぁ……	좋게……오히려, 그……조금 정도로, 아픈 것이……
んっ……あのね、早くしないとぉ……触らなくても濡れちゃうから……痛いのがいいの、ご主人様……はやくぅ……	응……저기요, 빨리 하지 않으면 ……손대지 않아도 젖어버리니까……아픈 것이 좋은 것, 주인님……빠르게 ……
んぁあああっ……！！　はぁ、はぁ、くる、しっ……よぉっ……んんん～～～っ……！	응아 아……!　후~, 후~, 온다, 쉿…………응응응∼~~……!
はぁ、はぁっ……痛くてぇ、どきどきしちゃうのぉ……はぁ、はひっ……んんんっ……	후~, 후~……아파서 , 두근두근 해버린다의 ……후~, 는 히……응응응……
あ、あうっ……あのねっ……？　叩いてくれたら……アソコ、きゅーってなるよっ……？　だからね……えへへ……はぁあ、はうんっ……	아, 만나는 ……저기요 ……?　두드려 주면(자)……아소코, 라고 되어 ……?　(이)니까……에에……후~아, 는 응 ……
いっぱい叩いて……？　変態お姉ちゃんのお尻……叩かれたがってるのぉ……んぅんっ……	가득 두드려……?　변태 언니의 엉덩이……얻어맞았지만 비치는 것 ……응응……
ぅあああっ……！？　ひぃいんっ……！　はぁ、はぁっ……ご主人様、ご主人様……叩かれたったよぉ……んぅんっ……	아 아……!　히있는 ……!　후~, 후~……주인님, 주인님……두드려진 야 ……응응……
はぁ、はううっ……ご主人様……ど、どうかなぁ……？　気持ちいいかなぁ……？　はぁ、あひっ……ひぃいんっ……	후~, 는 우우……주인님……아무쪼록인……?　기분이 좋을까……?　후~, 아히……히있는 ……
ぁああっ……ひぅうっ……い、いたっ……いたいのぉっ……♪　激しいよぉ……くぅうんっ……はぁあっ……はひっ……	아 …………있고, 있던 ……아픈 것 ……♪　격렬해 ……구응 ……후~아……는 히……
だって、だってねっ……ご、ご主人様がすることだから、嬉しくて……はぁ、はひっ……やぁああん……	왜냐하면, 이래……, 주인님이 하는 것이니까, 기뻐서……후~, 는 히……나아 응……
あああ、じんじんしてるぅ、はぁ、はひっ……！　お姉ちゃん、お姉ちゃんはっ……あぁああ～～っ……！	아 아, 지릿지릿 하고 있는 , 후~, 는 히……!　언니, 언니는 ……아아∼~……!
はぁ、はひっ……ひぃいっ……！　お部屋にねぇ……行かないといけないのにぃ……お姉ちゃん……ぁああ～～っ……！	후~, 는 히……히있고 ……!　방에 말이야 ……가지 않으면 안 되는데 ……언니……아∼~……!
あはぁ、はぁ、やぁあああんっ！　ごめんねっ……ああ、ああああ……！　ご主人様、ご主人様っ……ひぐぅうっ……！	아는, 후~, 나아 팥고물!　미안해요……아, 아 아……!　주인님, 주인님…………!
ああ、あああっ……さ、最後までっ……しゃせーまでっ……お願い……ごめんね、お姉ちゃん、待ってるのぉっ……！	아, 아 아……, 끝까지 ……감사할 수 있다-까지 ……부탁……미안해요, 언니, 기다려 ……!
んぁっ、出てる……！　んぅっ！　んぁあ～～～～っ……！！	응, 나오고 있다……!　응!　응∼~~~……!
んぅんっ……はぁ、はひっ……ひぃいんっ……おまんこもぉ……おひりもじんじんしてるぅ……くぅううんっ……	응응……후~, 는 히……히있는 ……보지도 ……도 지릿지릿 하고 있는 ……구으응 ……
こんなにも……だ、出してくれたんらぁ……？　あううっ……エッチ過ぎるお姉ちゃんで……ごめんね……？　はぁ、はううん……	이렇게도……다, 내 준 등……?　아우우……너무 음란한 언니로……미안해요……?　후~, 는 으응……
う、うんっ……トクベツ……トクベツなんだぁ……えへへ……大好きだよ、ご主人様……	, 응 ……트크베트……트크베트야……에에……정말 좋아해, 주인님……
ご主人様……この後も……もう、お姉ちゃんの事、壊しちゃってもいいからね……？　くぅうんっ……	주인님……이 후도……이제(벌써), 언니의 일, 부수어 버려서도 좋으니까……?　구응 ……
……ご主人様……その……お姉ちゃんね……酔っちゃった……えっと……ぼーっとしちゃうの……	……주인님……그……언니……취해 버렸다……어와……-로 해버린다의……
ちょっとだけでもいいけど……その……お姉ちゃんの身体……触ってぇ……？	조금이라도 좋지만……그……언니의 신체……손대어 ……?
あう……もう我慢できないの……ずっとエッチな事……考えてたら……ご主人様ぁ……	만나는……이제 참을 수 없는 것……훨씬 음란한 일……생각하고 있으면(자)……주인님……
あ、ぅっ……で、でも……いいのかな……？　ご主人様がいるのに……	아, ……로, 라도……좋은 것인지……?　주인님이 있는데……
うぅっ……意地悪……でも、その……ご主人様がいいって言うのなら……	……심술쟁이……라도, 그……주인님이 좋다고 말한다면……
あはっ……お姉ちゃんのおまんこ……触っても無いのに……はぁ、はぁ、最初からぐちゅぐちゅだったのっ……	아는 ……언니의 보지……손대어도 없는데……후~, 후~, 최초나들 였던 것 ……
ああ、あうっ……そ、そうかも……お話している時から……え、エッチしたかったからぁ……	아, 만나는 ……, 그럴지도……이야기 하고 있을 때로부터……네, 섹스하고 싶었으니까……
んっ……ご主人様もエッチな目してて……お姉ちゃんとエッチしたいんだなぁって……勝手に妄想しちゃってたぁ……	응……주인님도 음란한 눈 하고 있어……언니와 섹스하고 싶다는……마음대로 망상……
う、うんっ……ずっと楽しみにしてたの……何をされるんだろうとかぁ……エッチな事いっぱいしてほしいなってぇ……はううん……	, 응 ……쭉 기대했어……무엇을 하실 것이라고인가……음란한 일 가득 해 주었으면 한다는 ……는 으응……
はぁ、はうっ……う、うんっ……おまんこいっぱい……くちゅくちゅしたいっ……もっと、もっとぉ……激しく……ああっ……くぅん……	후~, ……, 응 ……보지 가득……하고 싶은 ……좀 더, 좀 더 ……격렬하고……아 ……구응……
はぁ、はひっ……いいの……？　分かったぁ、じゃあ、するねっ……？　はぁ、はぁっ……ご主人様、ご主人様っ……あぁあ……	후~, 는 히……좋은거야……?　알았다, 자, 하는군 ……?　후~, 후~……주인님, 주인님……아……
……ご主人様……イって、いいのっ……お姉ちゃん……ああ……！　んぁっ、はぁ、はううっ、ひぅうっ！　はぁ、あうっ、あうっ	……주인님……이는, 좋은 것 ……언니……아……!　응, 후~, 는 우우,!　후~, 만나는 , 만난다
はぁ、はぁあっ……はぁあんっ……ご、ご主人様の前でぇ……はぁ、はひっ……クリトリス、くりくりしてるぅ……はぁ、はうう……くぅうんっ……	후~, 후~아……후~ 팥고물……, 주인님의 앞에서 ……후~, 는 히……클리토리스, 동글동글 하고 있는 ……후~, 는 우우……구응 ……
う、うんっ……そうだよ……？　はぁ、はぁ……ご主人様ならどうやって触るかな、とかぁ……んぅっ……いっぱい、いっぱい想像してぇ……はぁあん……！	, 응 ……그래……?　후~, 후~……주인 같으면 어떻게 손댈까, 라든지…………가득, 가득 상상해 ……후~ 팥고물……!
ごめんねっ……！　はぁ、はぁ、イっちゃうよっ……イっちゃううっ……イカせてぇっ……！　はぁ、はひっ……んんん～～っ！	미안해요……!　후~, 후~, 이야 ……이우우……오징어키라고 ……!　후~, 는 히……응응응∼~!
ひゃ、んぅっ……！　んくっ！　イくぅううううっ……！	, 응……!　응구!　이구우우 우우……!
はぁ、はひ……す、すごいのぉ……すごい、よぉっ……はぁ、はひっ……ぁああんっ……ご主人様ぁ……	후~, 는 히……, 대단히의 ……대단히, ……후~, 는 히……아 응……주인님……
よっぱらってぇ……おなにーしてぇ……ああ、お姉ちゃん、頭まっしろだよぉ……	취해 ……뭐-해 ……아, 언니, 머리해라야 ……
ああ……えへへ……しょ、しょうらね……？　もっと、ご主人様に……きもちよくしてもらうんらよね……？　えへへ、うれし……	아……네에에……실마리, 짊어지는들……?　좀 더, 주인님에게……기분 자주(잘) 받는 등이군요……?　네에에, 팔 수 있는 해……
んっ……わたしね……ご主人様なら、なんでもぉ……かんじちゃうとおもうのぉ……えへへぇ、エッチなお姉ちゃんでごめんね……？	응……나……주인 같으면, 뭐든지 ……느껴버리자(면) 생각하는 것 ……네에에 , 음란한 언니로 미안해요……?
あう……んっ……ご、ごめんね……？　ご主人様ぁ……先、お部屋に行っててくれないかなぁ……？	만나는…………, 미안해요……?　주인님……앞, 방에 가고 있어 주지 않을까……?
……あの、お姉ちゃん、いっぱい飲んでたでしょ……？　だから、ちょっと、そのぉ……あのぉ……	……저, 언니, 가득 마시고 있었던이겠지……?　그러니까, 조금, 그 ……그-……
うん……おといれ、いってくるね……？	응……소리 넣어 갔다 오는군……?
…………き、きたなくないかなぁ……？	…………와, 더럽지 않을까……?
あう……ご、ご主人様に……そう言われちゃったら……あうっ……くぅうん……	만나는……, 주인님에게……그렇게 말해져 버렸다들……만나는 ……구응……
お姉ちゃん、ご主人様以外は見られたくないよ……？　だ、だれか……こないか……みていてね……？	언니, 주인님 이외는 볼 수 있고 싶지 않아……?　(이)다, 누군가……오지 않을까……보고 있어……?
あうう……意地悪、意地悪っ……あうっ……あ、あれっ……？　み、見られてるとぉ……お、おしっこ、出ないよぉ……くぅん……	아우우……심술쟁이, 심술쟁이……만나는 ……아, 저것……?　보고, 볼 수 있고 있다고(면) ……, 오줌, 나오지 않아 ……구응……
ご主人様のえっちぃ……そ、そんな……おまんこみないでぇ……じろじろ見られてると……ああ、あうっ……	주인님의 ……, 그런……보지 보지 말고 ……빤히 볼 수 있고 있다고(면)……아, 만난다 ……
や、やんっ……分かったよう……い、いたずらは……しないでね……？　はぁ、んぅんっ……んんん～～っ……！	(이)나, ……안 듯……있고, 장난은……하지 않도록……?　후~, 응응……응응응∼~……!
あ……ああっ……あううっ……おしっこ、出そうっ……おしっこ出そうなのっ……はぁ、はひっ……お姉ちゃん、あぁあっ……！	아……아 ……아우우……오줌, 내자 ……오줌 내자인 것 ……후~, 는 히……언니, 아……!
あっ……あううううっ……はうううっ……とまらないよぉっ……！	아……아우우 우우……우우……멈추지 않아 ……!
はぁ、はひっ……ご主人様ぁ……出しちゃったぁ……はぁあっ……んぅんっ……これで、いいかなぁ……？　楽しんでくれた……？	후~, 는 히……주인님……내 버렸다……후~아……응응……이것으로, 좋을까……?　즐겨 주었어……?
はぁ……はうっ……えっと、ごめんね……？　ひょっとして、悪いお姉ちゃんに……おしおきかなぁ……？	후~…………어와 미안해요……?　혹시, 나쁜 언니에게……벌일까……?
んっ……えへへ……わかったよ……んっ……お姉ちゃんね……ご主人様におしおきされたぁい……	응……네에에……알았어…………언니……주인님에게 벌 되었다있고……
えへへぇ……お姉ちゃんね……今日はご主人様にぃ……いっぱい、い～っぱい、してもらえるんだよね……？	네에에 ……언니……오늘은 주인님에게……가득, 있고~있고, 해 줄 수 있어……?
そうかなぁ……？　お姉ちゃん、ちょっとだけ正直になってるだけだよぉ……？	그럴까……?　언니, 조금 정직하게 되고 있을 뿐이야 ……?
ああ、あうっ……ご主人様ぁ……あの、お、お部屋ね……行く前にね……？　ちょっとだけね……えっちなこと、してほしいなぁって、思っちゃったぁ……くぅん……	아, 만나는 ……주인님……저, , 방이군요……가기 전에 말이야……?　조금……인 일, 해 주었으면 한다는, 생각해 버렸다……구응……
だって、だってぇ……身体熱いからぁ……シャワーだって、んっ……入らなくてもいいかなって思っちゃってるよ……？　すぐにしたいからぁ……	왜냐하면, 이래 ……신체 뜨겁기 때문에……샤워도, 응……들어가지 않아도 괜찮을까라고 생각해 버린다……?　곧바로 하고 싶기 때문에……
はぁっ……んっ……ご、ご主人様ぁ……手、熱いね……？　はぁ、はぁっ……くぅんっ……	후~……응……, 주인님……손, 뜨겁다……?　후~, 후~……구응……
んっ……おちんちん、欲しいに決まってるよぉ……でも、でも……この後もしてくれるんだよね……？　だったら、今は触るだけでいいかも……くぅんつ……	응……자지, 갖고 싶은으로 정해져있는……에서도, 그렇지만……이 후도 해 주어……?　그렇다면, 지금은 손대는 것만으로 좋을지도……구응개……
後でぇ……お姉ちゃんのおまんこ、おちんちんでいっぱいいじめてね……？　約束だよ……？	다음에 ……언니의 보지, 자지로 많이 있고 글자째라고……?　약속이야……?
しないよ、しないようっ……逆……はぁ、はぁ……イっちゃったらぁ……きっとご主人様に……もっともっとって、思っちゃう……くぅんっ……	하지 않아, 하지 않게 ……역……후~, 후~……이도 참……반드시 주인님에게……좀더 좀더는, 생각해버리는……구응……
ああ、あはぁあ……ふふっ……音しちゃってるぅっ……濡れてるからぁ……はぁ、はひっ……くぅううんっ……ひゃううっ……	아, 아는……후후……음 해 버린다 ……젖고 있으니……후~, 는 히……구으응 ……우우……
ああ、あああっ……くちゅくちゅってぇ、セックスしてるときみたいな音なってるぅっ……おまんこ、とろとろにされて……垂れてきちゃってるよぉっ……	아, 아 아……는 , 섹스 하고 있다고(면) 기미타 좋은 소리 되어있는 ……보지, 녹진녹진로 되어……늘어져 와 버린다……
はぁ、はぁ、そ、そこっ……おへその、裏側みたいなところ……もっと、もっと、ぐりぐりってぇ、んんん～～っ……！	후~, 후~, , 거기……배꼽의, 뒤편같은 곳……좀 더, 좀 더, 때굴때굴은 , 응응응∼~……!
あああ、やだぁ、はやいよぉ、なんか、なんかきちゃうのっ……ああ、だめだめぇ、だめなのに……もう、もうイっちゃいそうなの……だめぇええっ……！	아 아, 나다, 빨라 , 어쩐지, 어쩐지 와버린다의 ……아, 안된다 째, 안된데……이제(벌써), 이제(벌써) 이있을 것 같은……안돼예……!
ああ、はぁああっ……はいっ……ん……！　ご主人様、ご主人様ぁ！　お姉ちゃん、堪らなくて……はぁ、はひっ……はううっ……！	아, 후~ 아 ……네……응……!　주인님, 주인님!　언니, 감등 없어서……후~, 는 히……는 우우……!
はぁ、はぁあっ……あたままっしろぉ……んぅっ……わけわかんなく……なっちゃったぁ……はぁはひっ……くぅうんっ……	후~, 후~아……해라 ……응……나누고 모르게……되어 버렸다……후~는 히……구응 ……
幸せだよ……ご主人様……はぁ、はぁっ……エッチな事してもらうの……すっごくすきぃ……いくらされても……飽きないよ……	행복해……주인님……후~, 후~……음란한 일 받는 것……대단히 비어 ……아무리 되어도……질리지 않아……
あ、あのっ……やっぱり、一回じゃ……ダメ、だね……？　はやく……はやくぅ……おちんちんほしいなぁ……お部屋にぃ、いこ……？	아, 그 ……역시, 1회는……안 됨, 이구나……?　빠르게……빠르게 ……자지 가지고 싶다……방에 , 있고 와……?
うぅっ……ご主人様、さっき、一緒にお話ししている時にさ……他のメイドの事見てなかったかなぁ……？	……주인님, 조금 전, 함께 이야기하고 있을 때에 ……다른 메이드의 일 보지 않았지……?
…………お姉ちゃんと一緒におしゃべりしている時にね……他のメイドを見るのは、ちょっと失礼じゃないかなぁ……？	…………언니와 함께 이야기 하고 있을 때에 말이야……다른 메이드를 보는 것은, 조금 실례가 아닐까……?
むぅっ……お姉ちゃんね、そういう余裕なところ……好きじゃないかも……	……언니, 그러한 여유인 곳……을 좋아하지 않을지도……
んっ……お部屋に行く前にね……ちょっとだけ、お仕置きだよ……？　他のメイドの事……見ちゃ……ダメだからぁ……	응……방에 가기 전에 말이야……조금, 벌이야……?　다른 메이드의 일……보면……안되기 때문에……
はぁ……はぁ……れるっ……んぅんっ……くちゅっ……ふふ……上手だよね……？　ねぇ、んちゅっ……どうかなぁ……？	후~……후~…………응응…………후후……능숙하지……?　응, ……어떨까……?
はぁ、はぁ……お姉ちゃんなら、何でもできるよ……？　んちゅ……こんなに一生懸命しゃぶっちゃうのぉ……ちゅう、ちゅううつ……	후~, 후~……언니라면, 뭐든지 할 수 있어……?　……이렇게 열심히 빨아버린다의 ……, 우우개……
お姉ちゃん以外の女の子……見ちゃだめ……お姉ちゃんが一番じゃなきゃ……やだぁ……だからぁ……んちゅうっ……れるぅっ……	언니 이외의 여자 아이……보면 안돼……언니가 제일이 아니면……이나다……이니까………………
はぁ、はぅっ……くちゅっ！　んぅっ、んぅっ、ちゅっ、ほんとかなぁ……んちゅっ、ちゅうううっ、ぅうっ、ごひゅじんひゃまぁ……んちゅっ……	후~, 는 ……!　응, 응, , 정말일까……, 우우, , 글자응아무튼…………
んちゅううっ……お姉ちゃんがぁ……せかいでいちばんらからぁ…………んぐちゅっ……れるれるぅっ……はぁ、はぁ、ぐちゅっ……れるぅっ……	우우……언니가……세계에서 가장들로부터………………날름날름 ……후~, 후~, …………
ぷはあっ……ふふっ……んうっ……聞こえなかったぁ……うふふっ……もういっかい……	는 ……후후…………들리지 않았다……후후……다시 한 번……
はぁ……はぁ……わたしもだいすきだよぉ……えへへぇ……んぅんっ……んちゅううっ……	후~……후~……나도 너무 좋아야 ……네에에 ……응응……우우……
はぁ……んぐちゅっ……らしてぇ、らしてぇ……ぜんぶのんじゃうよぉ……？　はぁ、はぁ……お姉ちゃんがんばるのぉ……んぅんっ……んんんっ……	후~…………등 해 , 들 해 ……전부의 야 ……?　후~, 후~……언니 노력하는 것 ……응응……응응응……
ふふっ……お姉ちゃん、平気だよぉ……？　飲んじゃうからぁ……んぅっ、んぷちゅっ……じゅるるるっ……はぁあんっ……んぷちゅううっ……んんぅんっ……	후후……언니, 아무렇지도 않아 ……?　마셔버리니까……, …………후~ 팥고물……우우……응응응……
ん、くっ……んぅんっ……こくっ……はぁ、はぁ……たくさんらね……ふふっ……エッチなご主人様……しょうがないなぁ……んぅ……	응, 구……응응……진하고 ……후~, 후~……많이들……후후……음란한 주인님……어쩔 수 없다……응……
はぁ、はぁ……うふふ、お姉ちゃんに甘えたみたいだね……えへへ、いっぱい出しちゃったもんね……くぅんっ……	후~, 후~……후후, 언니에게 응석부린 것 같다……에에, 가득 내 버렸다 것이군요……구응……
えへへ……お姉ちゃんは何でもいいよ……？　いくらでもしてあげる……いっぱい……いっぱいご奉仕したいな……	네에에……언니는 뭐든지 좋아……?　얼마든지 해 주는……가득……가득 봉사하고 싶은데……
ご主人様、ご主人様ぁ……ふふっ……ちゅーしていい……？	주인님, 주인님……후후……-해도 좋아……?
んっ……もっとぉ……もっとらから……えへへっ……んちゅうっ……ちゅううっ……	응……좀 더 ……좀 더들로부터……에에 …………우우……
ちゅっ……ちゅっ……お姉ちゃんね……今、こうしてるのぉ……一番好きぃ……んぅんっ……	…………언니……지금, 이렇게 해 ……제일을 좋아하는 사람……응응……
ちゅぷっ……れるっ……れるぅっ……ご主人様ぁ……好きぃっ……んちゅっ……れるえれるっ……はぁんっ……んちゅううっ……	………………주인님……좋아해 ………………후~응……우우……
あ、そうだね……んぅんっ……お姉ちゃん、どうしたらいいかなぁ……？　あう、それはこまるもん……	아, 그렇다……응응……언니, 어떻게 하면 좋을까……?　만나는, 그것은 난처한 걸……
