いけないメイドには、お仕置きしないといけないな……	못난 메이드에게는 벌을 주지 않으면 안되겠지……
ご……ご主人様、着替え、終わりました……！　ど、どうですか……？	주…… 주인님, 갈아입기, 끝났습니다……! 어, 어떻습니까……?
そ……！　そんなこと、言わないでください……っ！　その、着替えてる時に、もうわかってましたから……	그……! 그런 소리, 하지말아 주세요……ㅅ! 저기, 옷을 갈아입을 때, 이미 알아버렸으니까요……
へえ、途中でわかってたのに、着てくれたんだ？	헤에, 도중에 알아차렸는데, 입어줬구나?
は、はい……っ、ご主人様が、喜んでくれるかと思って……、どうですか……？　やっぱり、わたしには似合わないですか……？	네, 네에……ㅅ! 주인님이, 기뻐해주실까 생각해서…… 어떤가요……? 역시, 저한테는 어울리지 않습니까……?
そう、ですよね……っ！　ご主人様の、すごい、元気になって……、ふふ、なんだか、うれしいです……！　わたしで、興奮してくれたんですよね……？	그렇, 네요……ㅅ! 주인님의, 굉장히, 건강해 져서…… 후후, 뭔가, 기쁩니다……! 저로, 흥분해주셨던 거네요……?
そうだよ。でも、なんか今日は積極的だね？	그래요. 하지만, 왠지 오늘은 적극적이네?
あ……！　そう、ですか……？　ごめんなさい、この服を頑張って着た時に、なんだか、変に自信が出てきて……、なんでだろう……？	아……! 그렇, 습니까……? 죄송합니다. 이 옷을 열심히 입었을 때, 왠지, 이상하게 자신감이 생겨서……, 어째서일까……?
いや、悪く言ってるんじゃないんだ。むしろ、嬉しいよ。	아니, 나쁘게 말하려는게 아니야. 오히려, 기대되네.
ほ、ほんとですか……？　なんだか、わたし、今日は大胆な夜伽もできちゃいそうな気がします……！　普段言えないエッチな言葉とかも、今なら……！	저, 정말입니까……? 왠지, 저, 오늘은 대담한 밤시중도 할 수 있을 것 같은 기분입니다……! 평소에는 말할 수 없는 H한 말도, 지금은……!
あの……ご主人様も、はやく、したいですよね……？　わたし……早くご主人様に、この姿で……可愛がって、欲しいです……っ、だめ、ですか……？	저기…… 주인님도, 빨리 하고싶은 거지요……? 저…… 빨리 주인님에게, 이 모습으로…… 사랑받길, 원해요……ㅅ! 안돼, 나요……?
うん、いいよ。じゃあ、行こうか。	응, 좋아. 그럼, 갈까?
ご、ご主人様っ、運動しましょう……！	, 주인님, 운동합시다……!
おおっ、随分やる気だね。そんな格好までして。	, 상당히 의지구나. 그런 모습까지 해.
は、はい！　何がいいですか、筋トレでも、マラソンでも、なんでも好きなのを選んでください！	(은)는, 네!　무엇이 좋습니까, 근련 트레이닝에서도, 마라톤에서도, 뭐든지 좋아하는 것을 선택해 주세요!
……えっと、その前に、どうしてそんなに必死なのか聞いても良い？	……어와 그 전에, 어째서 그렇게 필사적인가 (들)물어도 좋아?
う……	으……
……その、ごめんなさい。実は、さっきとても美味しいシュークリームをいただいて。でもカロリーを見たら、すごくて……	……그, 미안해요. 실은, 조금 전 매우 맛있는 슈크림을 먹어. 그렇지만 칼로리를 보면(자), 몹시라고……
なるほど、それでその格好なんだ。	과연, 그래서 그 적당한 응이다.
はい……、その、どうですか？　こういう格好は、似合わないでしょうか……	네……, 그, 어떻습니까?　이런 모습은, 어울리지 않을까요……
嬉しいです、えへへ……	기쁩니다, 네에에……
そ、そうですか……？　でもせっかく褒めていただいたので、この格好で何か運動したいんですけど……	, 그렇습니까……?　그렇지만 모처럼 칭찬해 주었으므로, 이 모습으로 무엇인가 운동하고 싶은데요……
じゃあ、夜伽とか？　あれも一種の運動だし、お互い気持ちよくできるよ？	자, 밤시중이라든지?　저것도 일종의 운동이고, 서로 기분 좋게 할 수 있어?
も、もう……っ、確かに、汗はいっぱいかいちゃいますけど……。	도, 이제(벌써)……, 확실히, 땀은 가득이야 있습니다만…….
したくないの？	하고 싶지 않은거야?
……今日は、私が動きますからね……？	……오늘은, 내가 움직이니까요……?
わぁ……っ、この服、とっても可愛いです……っ！	원……, 이 옷, 매우 사랑스럽습니다……!
本当だね、とても似合ってる。まさにアイドルって感じだよ。	사실이구나, 매우 어울리고 있다. 확실히 아이돌이라는 느낌이야.
そ、そんな、アイドルだなんて……、わたし、そんなに可愛くないですよぉ……	, 그런, 아이돌이라니……, 나, 그렇게 사랑스럽지 않아요 ……
とんでもない。めちゃくちゃ可愛いよ。握手して？	터무니 없다. 엄청 사랑스러워. 악수해?
え、えー……ご主人様なのに……	네, 네―……주인 같은데……
ふぇえっ！？　は、はい……っ！　喜んで……！	어!　(은)는, 네……!　기뻐해……!
……もう、だめじゃないか。快諾しちゃったら。アイドルは付き合っちゃだめなんだよ？	……이제(벌써), 안되지 않는가. 쾌락해 버렸다들. 아이돌은 교제하면 안되어?
でもわたし、アイドルじゃないですし……ご主人様とも恋人同士ですし……	그렇지만 나, 아이돌이 아니며……주인님과도 연인끼리이고……
そんなんじゃ、いつかアイドルになった時に苦労するよ？	그런 응은, 언젠가 아이돌이 되었을 때에 고생해?
なりませんよ、アイドルなんて……、そもそもスカウトされたりすることもないと思いますよ？	되지 않아요, 아이돌은……, 원래 스카우트 되거나 할 것도 없다고 생각해요?
でも、アイドルになったらいろんな人にちやほやされるよ？	그렇지만, 아이돌이 되면 여러 사람나 멍게 되어?
でも、アイドルになったらご主人様と一緒にご飯食べたり、出かけたりできないですよね？	그렇지만, 아이돌이 되면 주인님과 함께 밥 먹거나 나가거나 할 수 없지요?
あと、その……、えっちなことも、できないですよね……？	그리고, 그……, 인 일도, 할 수 없지요……?
ううん……、仕方ない。この服でアイドルになった気分で夜伽しようか。	으응……, 어쩔 수 없다. 이 옷으로 아이돌이 된 기분으로 밤시중 할까.
えへへ……わたしもそれがいいです……♪	네에에……나도 그것이 좋습니다……♪
ご主人様ぁ、この衣装、なんだかアイドルっぽくて素敵じゃないですか？	주인님, 이 의상, 어쩐지 아이돌 같고 멋지지 않습니까?
え？　アイドルですか？　うーん、えっと……	네?　아이돌입니까?　응, 어와……
なんていうか、男がプロ野球選手とか、特撮ヒーローに憧れるとか……ぼんやりとした憧れっていうか。	(이)라고 하는지, 남자가 프로야구 선수라든지, 특수 촬영 히어로를 동경한다든가……멍하니 한 동경이라고 할까.
う～～～～～～ん…………わたしは、その……自分一人が目立ったり、自分に注目が集まるのは、あんまり得意じゃないかも、です……	∼~~~~~응…………나는, 그……자신 한사람이 눈에 띄거나 자신에 주목이 모이는 것은, 별로 자신있지 않을지도, 입니다……
え、でも、ダンスとかは上手じゃない？	네, 그렇지만, 댄스라든지는 능숙하지 않아?
あれはご主人様の為に踊ってますから。恥ずかしいって気持ちより、見てもらいたいなぁ、て想う気持ちの方が強くて。	저것은 주인님을 위해 춤추고 있으니까. 부끄럽다는 기분보다, 보이고 싶다, 라고 생각하는 기분이 강해서.
な、なんだかすごい理屈だね。	, 어쩐지 대단한 도리구나.
そうでしょうか？　ご主人様がちょっとでも喜んでくれたり、楽しんでくれるのだったら、わたし、何でもします。	그럴까요?　주인님이 조금이라도 기뻐해 주거나 즐겨 주는 것이었다들 , 나, 뭐든지 합니다.
え？　え？　どうしてですか……？	네?　네?　왜 그렇습니까……?
アイドルっていうのは、多分ファンっていう人達に向けてそういう気持ちで頑張っているのだろうから。	아이돌이라고 하는 것은, 아마 팬이라고 하는 사람들에게 향해 그러한 기분으로 노력하고 있는 것일까들.
メイドとアイドルって、意外と似ているのかもしれないね？	메이드와 아이돌은, 의외로 비슷할지도 모른다?
うーん、似てないと思います。わたしはその、誰だって良いってわけじゃないですよ。	응, 닮지 않다고 생각합니다. 나는 그, 누구라도 좋다고 하는 것  것이 아니어요.
そ、その……頑張ったり、ご奉仕したいなぁって想うのは……ご、ご主人様だけ、です……	, 그……노력하거나 봉사하고 싶다는 생각하는 것은……, 주인님만, 입니다……
今日も……いっぱい可愛がってくださいね？	오늘도……가득 귀여워해 주세요?
ご主人様、どう、ですか……？	주인님, 어떻게, 입니까……?
おお、着てくれたんだね。すごく似合ってるよ。	, 입어 주었군요. 몹시 어울리고 있어.
こ、これ、チャイナドレスって言って良いんでしょうか……？　すごく、恥ずかしいです……！	개, 이것, 차이나 드레스라고 말해 좋을까요……?　몹시, 부끄럽습니다……!
そうかな？　普通のチャイナドレスも、それくらいスリット入ってるよ。	그럴까?　보통 차이나 드레스도, 그 정도 슬릿 들어가 있어.
で、でも普通は他の足の部分が隠れてるじゃないですか……！　それに、お腹も、胸元も……、うう、露出多すぎです……！	그리고, 그렇지만 보통은 다른 다리의 부분이 숨어있는이 아닙니까……!　게다가, 배도, 앞가슴도……, 우우, 노출 너무 많습니다 ……!
でも、それを着てくれたってことは、それなりに気に入ってくれてるんだよね？	그렇지만, 그것을 입어 주어도 (일)것은, 그 나름대로 마음에 들어 주고 있어군요?
そ、それは……、ご主人様にいただいた服ですから……。	, 그것은……, 주인님에게 받은 옷이기 때문에…….
それだけ？	그 만큼?
そ、それに……、こうやって露出度の高い服を着れば、ご主人様も喜んでくれるかな、って……	, 거기에……, 이렇게 노출도의 비싼 옷을 입으면, 주인님도 기뻐해 줄까, 는……
んぅ……、恥ずかしいですけど、嬉しいです……、勇気出して着て、よかったぁ……	응……, 부끄럽지만, 기쁩니다……, 용기 내 입어, 좋았다……
じゃあ、そろそろ行こうか。	자, 슬슬 갈까.
はいっ！　えへへ……！	네!　네에에……!
ご、ご主人様……、おまたせ、しました……。	, 주인님……, 또 키, 했습니다…….
お、いい感じだね。	, 좋은 느낌이구나.
ど、どこがですか……！　こんなの、少し動いたらみ、見えちゃ……！	, 어디가 말입니까……!　이런 건, 조금 움직이면(자) 보고, 보입니다……!
見える……？　一体どこが見えるんだろう。ちゃんと言ってくれないとわからないよ。	보여……?　도대체 어디가 보일까. 분명하게 말해 주지 않으면 몰라.
それは、その……、ぅう、意地悪しないでください……！	그것은, 그……, , 심술쟁이하지 말아 주세요……!
別に意地悪してるわけじゃなくて、本当にわからないだけなんだけどなぁ。あ、そうだ。わからないからお客様に見せて……	따로 심술쟁이하고 있는  것이 아니어서, 정말로 모르는 것뿐이지만. 아, 그렇다. 모르기 때문에 손님에게 보이게 해 줘……
わーっ、わー！　んぅ……、ち、ちくびが……、見えちゃうんです、少し動くと……！	와~, 원―！　응……, , 젖꼭지가……, 보여 버립니다, 조금 움직이면(자)……!
そ、そんな……、ぅう、そりゃあ、してないって言ったら嘘ですけど……、ひ、ひどいです、ご主人様……！	, 그런……, , 그렇다면 아, 하지 않는다고 말하면(자) 거짓말이지만……, 히, 심합니다, 주인님……!
ごめんごめん、悪乗りが過ぎたよ。	미안 미안, 짓이 나서 그만  지나친 농담, 육?지났어.
もう……っ、わたし、ご主人様が喜んでくれると思って、頑張って着たんですよ……！？	이제(벌써)……, 나, 주인님이 기뻐해 준다고 생각해, 노력해 입었습니다……!
うん、ごめん。その分ちゃんと、夜伽でお返ししてあげるから。	응, 미안. 그 만큼 분명하게, 밤시중으로 답례 해 주기 때문에.
んぅ……、ず、ずるいです……！　もうっ……！	응……, 두, 간사합니다……!　이제(벌써) ……!
う、うう……、ご主人様、なんですか、この服は……っ！	, 우우……, 주인님,  무엇입니까, 이 옷은……!
に、似合ってるって……！　こんな、ほとんど布面積がないような服、恥ずかしいだけです……！	에, 어울리고 있다고……!　이런, 거의 옷감 면적이 없는 것 같은 옷, 부끄러운 것뿐입니다……!
そうかな？　裸よりは多いと思うけど。	그럴까?　알몸보다는 많다고 생각하는데.
うう、顔から火が出そうです……！	우우, 창피하여 얼굴이 화끈거릴 것 같습니다……!
あはは、ごめんごめん。でも、本当に似合ってる。可愛いよ。	아하하, 미안 미안. 그렇지만, 정말로 어울리고 있다. 사랑스러워.
ほ、本当ですかぁ……？	, 정말입니까……?
うん、本当にエロ可愛い。興奮してきたよ。	응, 정말로 에로 사랑스럽다. 흥분해 왔어.
やっぱり、そういうことじゃないですか……！　いや、ご主人様にそう言ってもらえるのは嬉しいですけど、ぅう……	역시, 그런 것이 아닙니까……!　아니, 주인님에게 그렇게 말해 줄 수 있는 것은 기쁘지만, ……
ごめん、やっぱり嫌だったかな？　さすがにこんな格好は……。	미안, 역시 싫었던일까?　과연 이런 모습은…….
嬉しいから、かえって恥ずかしいんです……！　もう、この後の夜伽も、ちゃんと愛してくれないと怒りますからね……！	기쁘기 때문에, 오히려 부끄럽습니다……!　이제(벌써), 이 후의 밤시중도, 분명하게 사랑해 주지 않으면 화내니까요……!
ああ、もちろん。いくらでも愛してあげるから、安心してよ。	아, 물론. 얼마든지 사랑해 주기 때문에, 안심해.
もう……、早く行きますよ、ご主人様……！　こんな姿、ご主人様以外に見せたくなんてないんですから……！	이제(벌써)……, 빨리 가요, 주인님……!　이런 모습, 주인님 이외에 보여 주고 싶다니 않으니까……!
ご主人様……、これ、どうですか？	주인님……, 이거, 어떻습니까?
おお、似合ってるよ。	오오, 잘어울려요.
ほ、本当ですか……？　うふふ、ご主人様にそう言っていただけると、わたくしも嬉しいです……！	저, 정말입니까……? 우후후, 주인님에게 그렇게 말해주시면, 저도 기쁩니다……!
でも、すごい丸見えだね。恥ずかしくない？	그래도, 너무 훤히 보이네. 부끄럽지 않아?
恥ずかしいですけど、ご主人様だけに見せるものですから。そういうご主人様も、大きくなってるのを隠せていませんよ？	부끄럽지만, 주인님만 보는 것이니까. 그렇게 말하는 주인님도, 커다래지는 것을 감추지 않았어요?
ぁあ……ご主人様、可愛いです……っ、わたくし、なんだか体があつくなってきました……	아아…… 주인님, 사랑스럽습니다……ㅅ, 저, 왠지 몸이 더워졌습니다……
うふふ、ありがとうございます……！　わたくし、なんだか今日は、大胆になれそうです……！	우후후, 감사합니다……! 저, 왠지 오늘은, 대담하게 될 것 같아요……!
ご主人様が言って欲しければ、淫らな言葉で……ご、ご主人様の為に……ふふ……ご主人様も、たくさんわたくしのことを愛してくれすよね……？	주인님이 말해주기 바라신다면, 음란한 말로…… 주, 주인님을 위해서…… 후후…… 주인님도, 잔뜩 저를 사랑해주실거죠……?
もう……っご主人様、早く行きましょう……？　わたくし、もうご主人様が欲しくて、たまらないんです……！	이제……ㅅ 주인님, 빨리 갑시다……? 전, 벌써 주인님을 원해서, 참을수가 없어요……!
わかった、じゃあ、行こうか。	알았어, 그럼, 가볼까?
あ、あの……いかがでしょうか、ご主人様……私の、この恰好……	아, 그……어떻습니까, 주인님……나의, 이 모양……
頑張って着てはみましたけど、その……はしたない、でしょうか……？	노력해 입고는 보았습니다만, 그……상스러운, 입니까……?
いや、そんな事ないよ。そのシェイプアップコスチューム、動きやすいんじゃないかな。	아니, 그런 일 없어. 그 트레이닝 코스츔, 움직이기 쉽지 않을까.
ええ……動きやすくはあるのですが、うぅ……流石に、その……服というよりは下着のようですね、これは……	예……움직이기 쉽지는 있습니다만, ……유석에, 그……옷이라고 하는 것보다는 속옷과 같네요, 이것은……
そ、そうですか？　ご主人様に喜んで頂けているのでしたら、そう恥ずかしがる事もないでしょうか……むしろ私としても望むところです……	, 그렇습니까?　주인님에게 기꺼이 받을 수 있고 있으므로 하면(자), 그렇게 부끄러워하는 일도 없을까요……오히려 나로서도 바라는 곳(중)입니다……
それじゃあせっかくだし、その恰好で外でスポーツでもする？	그러면 땀인가 이겨, 그 모양으로 밖에서 스포츠라도 해?
そ、外っ……？　ご主人様がどうしてもと仰られるのでしたら構いませんが、私……他の方々に見られるのは……	, 밖……?　주인님이 아무래도라고 말씀하셔지므로 하면(자) 상관하지 않습니다만, 나……다른 여러분로 보여지는 것은……
恥ずかしいかな？　俺としては、自慢のメイドを見せびらかしたい気分なんだけど。	부끄러울까?　나로서는, 자랑의 메이드를 과시하고 싶은 기분이지만.
……わ、わかりました。私はご主人様の恋人であり、メイドなのですから……ご要望にお応えするのは当然です……	……원, 알았습니다. 나는 주인님의 연인이며, 메이드인 것입니다로부터……요망에 응답하는 것은 당연합니다……
このまま、外に向かいましょう。何処へなりとも、私の事を連れていって下さい。	이대로, 밖으로 향합시다. 어디에든지와도, 나의 일을 데려가 주세요.
わ、私だって恥ずかしいです。ですが、ご主人様が望むのでしたら……何処でも、恥ずかしい恰好を晒しましょう……私の心も身体も、ご主人様のモノですから。	원, 나라도 부끄럽습니다. 그렇지만, 주인님이 바라므로 하면(자)……어디에서도, 부끄러운 모양을 쬡시다……나의 마음도 신체도, 주인님의 물건이기 때문에.
ええ、もちろんです。たくさん愛し合って、私の身体で……ご主人様を心ゆくまで満足させて差し上げますから、ふふふっ……	예, 물론입니다. 많이 서로 사랑해, 나의 신체로……주인님을 마음껏 만족시켜 드리기 때문에, 후후후……
この恰好……ご主人様、どう思われますか……？　私に、似合っていますでしょうか……	이 모양……주인님, 어떻게 생각됩니까……?　나에게, 어울리고 있으십니까……
ド、ドキドキですか……？　ふふふっ、それは嬉しいです……！　ご主人様に喜んで頂こうと思って、着てきたものですから……	드, 드키드키입니까……?　후후후, 그것은 기쁩니다……!　주인님에게 기꺼이 받으려고 생각해, 입어 왔기 때문에……
アイドル、ですか……ですが私は、ご主人様以外の殿方などどうでもよいのです。私にはご主人様だけ、ご主人様には私だけ、ですから……	아이돌, 입니까……입니다만 나는, 주인님 이외의 남자분등 아무래도 좋습니다. 나에게는 주인님만, 주인님에게는 나만, 그러니까……
あはは、ありがとう。そんなに想ってもらえるなんて、ご主人様冥利に尽きるよ。	아하하, 고마워요. 그렇게 생각해 줄 수 있다니 주인님 명리에 다해.
私こそ、ご主人様のような方にお仕えできて幸せです。……ですから、もしも私がアイドルになるとしたら、ご主人様だけのアイドルになりたいです。	나야말로, 주인님과 같은 (분)편에게 시중들 수 있어 행복합니다. ……그러니까, 만약 내가 아이돌이 된다고 하면(자), 주인님만의 아이돌이 되고 싶습니다.
俺だけの為に、歌ったり踊ったりしてくれるって事かな。	나만의 때문에, 노래하거나 춤추거나 해 준다 라는 일일까.
ええ、それはもちろん。私の全てはご主人様だけのモノ……ご主人様が望むなら、なんでも致しますよ……？　そんなの当然です。	예, 그것은 물론. 나의 모두는 주인님만의 물건……주인님이 바란다면, 뭐든지 해요……?　그런 것 당연합니다.
ご主人様にそう言って頂けるだけで、私は何もいりません、幸せです……	주인님에게 그렇게 말해 받을 수 있는 것만으로, 나는 굳이 필요 없습니다 , 행복합니다……
嘘ではありませんよ、ご主人様。……お求めになれるのでしたら、私の身体……全てご主人様の望むがままに捧げます。	거짓말이 아니어요, 주인님. ……요구하실 수 있으므로 하면(자), 나의 신체……모두 주인님이 바라는 대로 바칩니다.
私の心も身体も、お好きなように使って下さい……愛して頂くのでも、犯して頂くのでも構いませんから……ご主人様になら、何をされても……	나의 마음도 신체도, 좋아하는 것 같게 사용해 주세요……사랑해 받으므로도, 범해 받으므로도 상관하지 않기 때문에……주인님에게라면, 무엇을 하셔도……
私も、もう胸が熱くなって……はしたない気持ちになってしまっているんですよ……朝まで、ずっとお側において下さいね、ご主人様……	나도, 이제(벌써) 가슴이 뜨거워져……상스러운 기분이 되어 버리고 있습니다……아침까지, 쭉 측에 두어 주세요, 주인님……
いかがでしょうか、ご主人様……？　この衣装……	어떻습니까, 주인님……?　이 의상……
ふふっ、ありがとうございます、ご主人様。似合わないかもしれないと思いましたけど、喜んで頂けたみたいで嬉しいです。	후후, 감사합니다, 주인님. 어울리지 않을지도 모른다고 생각했습니다만, 기꺼이 받을 수 있던 것 같고 기쁩니다.
嬉しいです、そのようなお言葉を頂けるなんて……昇天してしまいそうです……	기쁩니다, 그러한 말씀을 받을 수 있다는……승천 해 버릴 것 같습니다……
も、申し訳ありません、ご主人様……！　感動のあまり、私……その……	도, 죄송합니다, 주인님……!　감동의 너무, 나……그……
はぁ、ちょっと落ち着きますね……確かに、ご主人様がいない天国なんて、地獄と大して変わりませんからね。	후~, 조금 침착하네요……확실히, 주인님이 없는 천국은, 지옥과 그다지 바뀌지 않기 때문에.
私がお仕えするのはご主人様だけです、それ以外は、誰も要りませんから……	내가 시중드는 것은 주인님 뿐입니다, 그 이외는, 아무도 필요하지 않기 때문에……
大勢の方に好いて頂く必要なんてありませんから……私はただ一人、ご主人様さえいればそれだけで満たされますから。	많은 (분)편에게 좋아해 받는 필요하다니 없기 때문에……나는 다만 한사람, 주인 같음 있으면 그 만큼으로 채워질테니까.
ご主人様だけの為にステージをですか……？	주인님만의 때문에 스테이지를 말입니까……?
ふふっ、構いませんよ。むしろ望むところです、ご主人様。それではその時まで、練習しないといけませんね。	후후, 상관하지 않아요. 오히려 바라는 곳(중)입니다, 주인님. 그러면 그 때까지, 연습하지 않으면 안되겠네요.
あぁ、楽しみにしてるよ。それじゃ、それはそれとして……今日の夜伽、してもらおうかな。	아, 기대하고 있어. 그러면, 그건 그걸로하고……오늘의 밤시중, 받을까.
ええ、ご主人様……誠心誠意、ご奉仕させて頂きますね。ご要望とあらば、私のすべてを使って……	예, 주인님……성심성의, 할인해 드리겠습니다. 요망과 , 나의 모든 것을 사용해……
私の、私だけのご主人様……たくさんたくさん、心も身体も溶け合うくらい、可愛がってくださいね……？	나의, 나만의 주인님……많이 많이, 마음도 신체도 용해될 정도로, 귀여워해 주세요……?
うぅ……い、いかがでしょうか？　中国風というわりには、些か露出が多いようにも思えますが……私に似合っていますか？	……있고, 어떻습니까?　중국풍심어져에는, 조금 노출이 많은 듯 하게도 생각됩니다만……나에 어울리고 있습니까?
キョ、キョンシーですか……。私にはそのような事はできないですが……	쿄, 콜시입니까……. 나에게는 그러한 일은 할 수 없습니다만……
なんかね、御札とか似合いそうだよね。	어쩐지, 지폐라든지 어울릴 것 같지.
御札……。おでことかに張るのですよね？　ですがそれだと、私の顔……ちゃんとご主人様に見て頂けませんよ？	지폐……. 이마라든지에 치는 거에요?　그렇지만 그것이라고, 나의 얼굴……분명하게 주인님에게 봐 주실 수 없어요?
いやいや、夜伽なんだからさ……おでこじゃなくて、おっぱいとかアソコとかだよ。	아니아니, 밤시중이니까 ……이마가 아니고, 젖가슴이라든지 아소코라든지야.
えっ……？　えぇっ……あ、あの、うぅ……それは流石に恥ずかしいですが……！　私はご主人様のメイド、主の求めには応じなければ……	어……?　네……아, 저, ……그것은 유석에 부끄럽습니다만……!　나는 주인님의 메이드, 주의 요구에는 응하지 않으면……
わかりました、ご主人様……どのように淫らな恰好だとしても、私、ご主人様を必ず満足させて御覧に入れますから……ふふっ、ふふふっ……	알았습니다, 주인님……어떻게 추잡한 모양이라고 해도, 나, 주인님을 반드시 만족시켜 보여 드리기 때문에……후후, 후후후……
だからご主人様も、思いきり強く優しく、私の事を抱いて下さいね？　私の全身、余すところなく愛してほしいのですから……	그러니까 주인님도, 마음껏 강하고 상냥하고, 나의 일을 안아 주세요?　나의 전신, 남기는 곳(중) 없게 사랑하기를 원하기 때문에……
ふふっ、嬉しいです……！　やはり衣服というのは大事ですね。ご主人様がこれだけ私を愛でる気になってくれるというのですから……	후후, 기쁩니다……!　역시 의복이라고 하는 것은 소중하네요. 주인님이 이만큼 나를 사랑 나올 마음이 생겨 준다는 것이기 때문에……
それではご主人様……どんなはしたない事でも、私すべて応えてみせますから……思う存分、私の身体を使って下さいね……？	그러면 주인님……어떤 상스러운 것에서도, 나 모두 응해 보이기 때문에……마음껏, 나의 신체를 사용해 주세요……?
そ、そうでしょうか？　ふふふっ……ご主人様に喜んで頂けたみたいで嬉しいです……！	, 그럴까요?　후후후……주인님에게 기꺼이 받을 수 있던 것 같고 기쁩니다……!
ええ、ご主人様になら……私のすべてを見られても構いませんから。はしたない恰好で、ふふっ、ご主人様の事、応援して差し上げますね？	예, 주인님에게라면……나의 모든 것을 볼 수 있어도 상관하지 않기 때문에. 상스러운 모양으로, 후후, 주인님의 일, 응원해 드리네요?
えっ、本当ですか？　ふふふっ！　それは良い話を聞きました……という事は、それだけたくさん私の事を愛でて下さるという事ですよね？	어, 정말입니까?　후후후!　그것은 좋은 이야기를 들었던……이라고 하는 일은, 그 만큼 많이 나의 일을 사랑으로라고 주신다고 하는 일이군요?
もしかして、今宵の夜伽でご主人様の子を授かる事ができるかもしれませんね……！　私としては、何人でも生んで差し上げたいですが……	혹시, 오늘 밤의 밤시중으로 주인님의 아이를 내려 주실 수가 있을지도 모르겠네요……!　나로서는, 몇 사람에서도 낳아 드리고 싶습니다만……
男の子が欲しいですか、それとも女の子が欲しいですか？　もちろん両方でも構いません、私のご主人様のお慈悲をたくさん下さいね……！	사내 아이를 갖고 싶습니까, 그렇지 않으면 여자 아이를 갖고 싶습니까?　물론 양쪽 모두에서도 상관하지 않습니다, 나의 주인님의 자비를 많이 주세요……!
え、えっとその、話が飛躍し過ぎじゃないかな……？	네, 어와 그, 이야기가 너무 비약한 것이 아닐까 ……?
そうでしょうか？　男女が睦み合うのですから、これくらいは当然かと思いますが……。ですが、今宵は私の事だけ考えて抱く、という事ですか？	그럴까요?　남녀가 무츠미 서로 보니까 , 이 정도는 당연한 것으로 생각합니다만……. 그렇지만, 오늘 밤은 나의 일만 생각해 안는다, 라고 말하는 일입니까?
まぁ、うん。そんな感じだよ。	아무튼, 응. 그런 느낌이야.
ふふふっ、それはそれで私も嬉しいです、幸せです、今すぐにでも蕩けてしまいそうです……！　たくさん愛し合いましょうね、ご主人様……	후후후, 그건 그걸로 나도 기쁩니다, 행복합니다, 금방이라도 녹아 버릴 것 같습니다……!　많이 서로 사랑해요, 주인님……
いかがでしょうか、ご主人様……。興奮しますか、欲情しますか、今すぐ私を抱きたいと思いますか、ご主人様……？	어떻습니까, 주인님……. 흥분합니까, 욕정합니까, 금방 나를 안고 싶다고 생각합니까, 주인님……?
この恰好の方が、夜伽をしやすいでしょう？　着たままでも、すぐにでもできますから、ふふふっ……！	이 모양이, 밤시중을 하기 쉬울 것입니다?　입은 채로도, 당장이라도 할 수 있기 때문에, 후후후……!
あぁっ……！　私にそこまで興奮して頂けるなんて……！　この服を着た甲斐があったというものです、ご主人様ぁ……	아……!　나에게 거기까지 흥분 해 주실 수 있다니……!　이 옷을 입은 보람이 있었다고 하는 것입니다, 주인님……
それなら、今宵はたくさん私の事を愛して下さいね……？　それこそ私、ふふっ……ご主人様の子を孕んでも構いませんから……	그렇다면, 오늘 밤은 많이 나의 일을 사랑해 주세요……?　그야말로 나, 후후……주인님의 아이를 잉응에서도 상관하지 않기 때문에……
むしろご主人様が興奮してくれている今日こそ、種付けして頂くのに最適な日なのでは……！？　今日という機を逃しては、私一生後悔して……	오히려 주인님이 흥분해 주고 있는 오늘이야말로, 교배해 받는데 최적인 날인 것은……!　오늘이라고 하는 기를 놓쳐서는, 나일생 후회해……
そ、そうでしょうか……？　ですが、うぅ……ご主人様がそう仰るのでしたら、私、涙を飲んで懐妊を我慢しますが……	, 그럴까요……?　그렇지만, ……주인님이 그렇게 말씀하시므로 하면(자), 나, 눈물을 삼켜 회임을 참습니다만……
まぁ、その辺りはいずれね……？	아무튼, 그 근처는 머지않아……?
わかりました、ご主人様っ！　私はいつでも大丈夫ですから……ふふっ、愛しいご主人様のお好きなようにして下さいね？	알았습니다, 주인님!　나는 언제라도 괜찮기 때문에……후후, 사랑스러운 주인님의 좋아하는 것 같게 해 주세요?
それでは早速、今宵の夜伽を致しましょう。ふふっ、ご主人様の期待に沿えるように、私の淫らな姿、すべてお見せしますね……！	그러면 조속히, 오늘 밤의 밤시중을 합시다. 후후, 주인님의 기대에 따를 수 있도록(듯이), 나의 추잡한 모습, 모두 보여드리네요……!
じゃ、じゃーん……っ！　ご主人様、どうかな……？　ちょっと、いやらしすぎる、かな……？	그러면, 그러면……!　주인님, 어떨까……?　좀, 너무 불쾌한, 걸까……?
確かにそうだけど、すごく似合ってるよ。	확실히 그렇긴 하지만, 정말 잘 어울리는구나.
よ、よかったぁ……っ、着替えるとき、すごくドキドキしたんだよ……？　こんな、えっちな下着……どこも、隠せなくて……	다, 다행이다……앗, 갈아입을 때, 몹시 두근두근 했어……?　이런, 음란한 속옷……어디도, 숨길 수 없어서……
